season,episode,episode_name,director
8,24,Free Family Portrait Studio,B.J. Novak
9,1,The New Guys,Greg Daniels
9,2,Roy's Wedding,Matt Sohn
9,3,Andy's Ancestry,David Rogers
9,4,Work Bus,Bryan Cranston
9,5,Here Comes Treble,Claire Scanlong
9,6,The Boat,John Krasinski
9,7,The Whale,Rodman Flender
9,8,The Target,Brent Forrester
9,9,Dwight Christmas,Charles McDougall
9,10,Lice,Rodman Flender
9,11,Suit Warehouse,Matt Sohn
9,12,Customer Loyalty,Kelly Cantley-Kashima
9,13,Junior Salesman,David Rogers
9,14,Vandalism,Lee Kirk
9,15,Couples Discount,Troy Miller
9,16,Moving On,Jon Favreau
9,17,The Farm,Paul Lieberstein
9,18,Promos,Jennifer Celotta
9,19,Stairmageddon,Matt Sohn
9,20,Paper Airplane,Jesse Peretz
9,21,Livin' the Dream,Jeffrey Blitz
9,22,A.A.R.M,David Rogers
9,24,Finale,Ken Kwapis
5,23,The Michael Scott Paper Company,Gene Stupnitsky
5,23,The Michael Scott Paper Company,Lee Eisenberg
6,7,The Lover,Lee Eisenberg
6,7,The Lover,Gene Stupnitsky
6,17,The Delivery (Parts 1&2),Seth Gordon
6,17,The Delivery (Parts 1&2),Harold Ramis
