season,episode,episode_name,imdb_rating,air_date
8,2,The Incentive,8.2,2011-09-29
8,3,Lotto,7.3,2011-10-06
8,4,Garden Party,8.1,2011-10-13
8,5,Spooked,7.6,2011-10-27
8,6,Doomsday,7.8,2011-11-03
8,7,Pam's Replacement,7.7,2011-11-10
8,8,Gettysburg,7,2011-11-17
8,9,Mrs. California,7.7,2011-12-01
8,10,Christmas Wishes,8,2011-12-08
8,11,Trivia,7.9,2012-01-12
8,12,Pool Party,8,2012-01-19
8,13,Jury Duty,7.5,2012-02-02
8,14,Special Project,7.8,2012-02-09
8,15,Tallahassee,7.9,2012-02-16
8,16,After Hours,8.1,2012-02-23
8,17,Test The Store,7.8,2012-03-01
8,18,Last Day In Florida,7.8,2012-03-08
8,19,Get The Girl,6.7,2012-03-15
8,20,Welcome Party,7.2,2012-04-12
8,21,Angry Andy,7.1,2012-04-19
8,22,Fundraiser,7.1,2012-04-26
8,23,Turf War,7.7,2012-05-03
8,24,Free Family Portrait Studio,7.8,2012-05-10
9,1,The New Guys,7.7,2012-09-20
9,2,Roy's Wedding,7.2,2012-09-27
9,3,Andy's Ancestry,7.5,2012-10-04
9,4,Work Bus,7.9,2012-10-18
9,5,Here Comes Treble,7.1,2012-10-25
9,6,The Boat,7.8,2012-11-08
9,7,The Whale,7.7,2012-11-15
9,8,The Target,7.8,2012-11-29
9,9,Dwight Christmas,8.4,2012-12-06
9,10,Lice,7.7,2013-01-10
9,11,Suit Warehouse,7.9,2013-01-17
9,12,Customer Loyalty,8,2013-01-24
9,13,Junior Salesman,7.7,2013-01-31
9,14,Vandalism,7.6,2013-01-31
9,15,Couples Discount,7.4,2013-02-07
9,16,Moving On,8.2,2013-02-14
9,17,The Farm,7.5,2013-03-14
9,18,Promos,8,2013-04-04
9,19,Stairmageddon,8,2013-04-11
9,20,Paper Airplane,8,2013-04-25
9,21,Livin' the Dream,8.9,2013-05-02
9,22,A.A.R.M,9.3,2013-05-09
9,24,Finale,9.7,2013-05-16
