season,week,game_type,quarter,quarter_type,home_team,home_full_name,home_division,home_conference,away_team,away_full_name,away_division,away_conference,home_team_score,away_team_score
2018,1,Regular season,2,Regulation,DEN,Denver Broncos,West,AFC,SEA,Seattle Seahawks,West,NFC,17,10
2018,1,Regular season,3,Regulation,DEN,Denver Broncos,West,AFC,SEA,Seattle Seahawks,West,NFC,20,17
2018,1,Regular season,4,Regulation,DEN,Denver Broncos,West,AFC,SEA,Seattle Seahawks,West,NFC,27,24
2018,1,Regular season,1,Regulation,MIN,Minnesota Vikings,North,NFC,SF,San Francisco 49ers,West,NFC,3,0
2018,1,Regular season,2,Regulation,MIN,Minnesota Vikings,North,NFC,SF,San Francisco 49ers,West,NFC,10,3
2018,1,Regular season,3,Regulation,MIN,Minnesota Vikings,North,NFC,SF,San Francisco 49ers,West,NFC,24,13
2018,1,Regular season,4,Regulation,MIN,Minnesota Vikings,North,NFC,SF,San Francisco 49ers,West,NFC,24,16
2018,1,Regular season,1,Regulation,NO,New Orleans Saints,South,NFC,TB,Tampa Bay Buccaneers,South,NFC,10,14
2018,1,Regular season,2,Regulation,NO,New Orleans Saints,South,NFC,TB,Tampa Bay Buccaneers,South,NFC,24,31
2018,1,Regular season,3,Regulation,NO,New Orleans Saints,South,NFC,TB,Tampa Bay Buccaneers,South,NFC,24,41
2018,1,Regular season,4,Regulation,NO,New Orleans Saints,South,NFC,TB,Tampa Bay Buccaneers,South,NFC,40,48
2018,1,Regular season,1,Regulation,MIA,Miami Dolphins,East,AFC,TEN,Tennesse Titans,South,AFC,0,3
2018,1,Regular season,2,Regulation,MIA,Miami Dolphins,East,AFC,TEN,Tennesse Titans,South,AFC,7,3
2018,1,Regular season,3,Regulation,MIA,Miami Dolphins,East,AFC,TEN,Tennesse Titans,South,AFC,10,3
2018,1,Regular season,4,Regulation,MIA,Miami Dolphins,East,AFC,TEN,Tennesse Titans,South,AFC,27,20
2018,1,Regular season,1,Regulation,ARI,Arizona Cardinals,West,NFC,WAS,Washington Commanders,East,NFC,0,0
2018,1,Regular season,2,Regulation,ARI,Arizona Cardinals,West,NFC,WAS,Washington Commanders,East,NFC,0,21
2018,1,Regular season,3,Regulation,ARI,Arizona Cardinals,West,NFC,WAS,Washington Commanders,East,NFC,0,21
2018,1,Regular season,4,Regulation,ARI,Arizona Cardinals,West,NFC,WAS,Washington Commanders,East,NFC,6,24
2018,2,Regular season,1,Regulation,LA,Los Angeles Rams,West,NFC,ARI,Arizona Cardinals,West,NFC,0,0
2018,2,Regular season,2,Regulation,LA,Los Angeles Rams,West,NFC,ARI,Arizona Cardinals,West,NFC,19,0
2018,2,Regular season,3,Regulation,LA,Los Angeles Rams,West,NFC,ARI,Arizona Cardinals,West,NFC,27,0
2018,2,Regular season,4,Regulation,LA,Los Angeles Rams,West,NFC,ARI,Arizona Cardinals,West,NFC,34,0
2018,2,Regular season,1,Regulation,CIN,Cincinnati Bengals,North,AFC,BAL,Baltimore Ravens,North,AFC,14,0
2018,2,Regular season,2,Regulation,CIN,Cincinnati Bengals,North,AFC,BAL,Baltimore Ravens,North,AFC,28,14
2018,2,Regular season,3,Regulation,CIN,Cincinnati Bengals,North,AFC,BAL,Baltimore Ravens,North,AFC,28,17
2018,2,Regular season,4,Regulation,CIN,Cincinnati Bengals,North,AFC,BAL,Baltimore Ravens,North,AFC,34,23
